Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,10.752331,10.752331,9.578292,9.618977,8.167348,2721233
2015-10-20,9.444615,9.839836,9.444615,9.804963,8.325267,1220907
2015-10-21,10.025822,10.083943,9.531796,9.578292,8.132801,135236
2015-10-22,9.711970,9.909580,9.438803,9.851460,8.364746,189261
2015-10-23,10.025822,10.025822,9.793339,9.880520,8.389420,103061
2015-10-26,9.944453,9.944453,9.479487,9.543420,8.103193,885743
2015-10-27,9.624789,9.735218,9.066830,9.142387,7.762681,1094274
2015-10-28,9.241192,9.502736,9.209226,9.462051,8.034101,509801
2015-10-29,9.305125,9.456239,9.037770,9.270253,7.871251,499650
2015-10-30,9.241192,9.357434,8.555368,8.555368,7.264251,4214161
2015-11-02,8.712294,8.816911,8.055530,8.421690,7.150748,70312635
2015-11-03,8.177583,8.549556,7.948007,8.346133,7.086592,69176379
2015-11-04,8.363570,8.433315,7.910228,7.939289,6.741147,54241942
2015-11-05,7.927664,8.072966,7.625437,7.718430,6.553618,38180025
2015-11-06,7.660309,8.415878,7.642873,8.369382,7.106333,51702744
2015-11-09,8.288013,8.415878,8.212456,8.253140,7.007633,30158099
2015-11-10,8.212456,8.392630,8.142711,8.375194,7.111267,25426050
2015-11-11,8.253140,8.317073,8.189208,8.200832,6.963220,18942302
2015-11-12,8.026470,8.032282,7.898604,7.962537,6.760885,35050675
2015-11-13,7.910228,7.997409,7.642873,7.782363,6.607900,25678456
2015-11-16,7.770738,7.910228,7.637061,7.776551,6.602966,23712203
2015-11-17,7.776551,7.840483,7.625437,7.683557,6.524007,21370697
2015-11-18,7.834671,7.979973,7.665540,7.927664,6.731275,22402515
2015-11-19,7.863732,8.072966,7.857920,8.009033,6.800365,22662319
2015-11-20,8.009033,8.503059,7.950913,8.258952,7.012568,31932509
2015-11-23,8.235704,8.258952,7.886980,8.049718,6.834908,26354291
2015-11-24,7.892792,8.151429,7.846295,7.956725,6.755950,41484183
2015-11-25,8.084590,8.636737,8.043906,8.206644,6.968153,39017248
2015-11-27,8.206644,8.508871,8.165959,8.340321,7.081657,10395090
2015-11-30,8.270577,8.718106,8.241516,8.636737,7.333340,50075613
2015-12-01,8.648361,9.229568,8.630925,9.072642,7.703463,43197341
2015-12-02,8.933153,9.031958,8.642549,8.689046,7.377753,21818558
2015-12-03,8.718106,8.915716,8.473999,8.497247,7.214900,32527478
2015-12-04,8.363570,8.889562,8.276389,8.845972,7.510999,20648579
2015-12-07,8.718106,8.997085,8.671609,8.979649,7.652152,16424439
2015-12-08,8.770415,8.886656,8.497247,8.816911,7.513475,19988745
2015-12-09,8.712294,8.944777,8.532120,8.630925,7.354985,24538415
2015-12-10,8.596052,8.607677,8.444939,8.555368,7.290596,19528668
2015-12-11,8.712294,8.950589,8.218268,8.241516,7.023140,18265779
2015-12-14,8.311261,8.427502,8.090402,8.392630,7.151916,19834755
2015-12-15,8.433315,8.706482,8.418784,8.462375,7.211351,22175746
2015-12-16,8.497247,8.607677,8.456563,8.543744,7.280690,13490889
2015-12-17,8.491435,8.555368,8.264764,8.317073,7.087529,13118732
2015-12-18,8.293825,8.360664,8.136899,8.229892,7.013237,33271447
2015-12-21,8.206644,8.369382,8.061342,8.148523,6.943896,16970372
2015-12-22,8.160147,8.218268,8.090402,8.171771,6.963709,12547163
2015-12-23,8.247328,8.700670,8.165959,8.665797,7.384698,19359710
2015-12-24,8.607677,8.816911,8.596052,8.729730,7.439180,3748234
2015-12-28,8.654173,8.880844,8.613489,8.851784,7.543192,10203937
2015-12-29,8.886656,8.972093,8.822723,8.834347,7.528332,10797873
2015-12-30,8.886656,8.997085,8.805287,8.880844,7.567955,10796841
2015-12-31,8.851784,8.898280,8.776227,8.834347,7.528332,11644903
2016-01-04,8.700670,8.805287,8.566992,8.793663,7.493662,25940497
2016-01-05,8.793663,8.863408,8.683234,8.735542,7.444135,17770259
2016-01-06,8.497247,8.718106,8.433315,8.601865,7.330220,19468277
2016-01-07,8.427502,8.462375,7.933476,7.968349,6.790359,34143941
2016-01-08,8.003221,8.148523,7.735866,7.869544,6.706161,28272024
2016-01-11,7.805611,7.968349,7.596376,7.706806,6.567481,25998996
2016-01-12,7.759114,7.799799,7.608000,7.706806,6.567481,21435562
2016-01-13,7.759114,7.759114,7.282525,7.410390,6.314884,30489650
2016-01-14,7.410390,7.654497,7.352269,7.555692,6.438706,22973740
2016-01-15,7.323209,7.439450,7.259276,7.288337,6.210875,33945733
2016-01-19,7.369706,7.427826,7.090726,7.160471,6.101913,22239750
2016-01-20,6.974485,7.090726,6.756532,7.009357,5.973139,28630244
2016-01-21,6.974485,7.288337,6.869868,7.212780,6.146489,28784234
2016-01-22,7.381330,7.805611,7.352269,7.759114,6.612054,26272736
2016-01-25,7.724242,7.875356,7.625437,7.753302,6.607102,19241679
2016-01-26,7.759114,7.977067,7.759114,7.904416,6.735876,18454869
2016-01-27,7.863732,7.910228,7.529538,7.782363,6.631865,31803640
2016-01-28,7.817235,7.962537,7.596376,7.666121,6.532810,16989470
2016-01-29,7.793987,8.067154,7.759114,7.997409,6.815122,19548799
2016-02-01,7.945101,8.067154,7.863732,8.014845,6.829980,16430633
2016-02-02,7.962537,8.119463,7.764926,7.817235,6.661584,16650692
2016-02-03,7.939289,8.003221,7.619625,7.770738,6.621961,12995369
2016-02-04,7.735866,8.072966,7.735866,8.049718,6.859697,11182073
2016-02-05,7.956725,7.991597,7.576034,7.671933,6.537762,22759014
2016-02-08,7.555692,7.584752,7.189531,7.270900,6.196017,25491603
2016-02-09,7.189531,7.474323,7.154659,7.392954,6.300027,11504506
2016-02-10,7.422014,7.596376,7.387142,7.474323,6.369367,10292717
2016-02-11,7.305773,7.363894,6.983203,7.206968,6.141534,16920476
2016-02-12,7.265088,7.433638,7.079102,7.143035,6.087053,18150846
2016-02-16,7.212780,7.259276,7.131411,7.166283,6.106864,20606942
2016-02-17,7.201156,7.637061,7.189531,7.567316,6.448612,14910693
2016-02-18,7.584752,7.962537,7.567316,7.863732,6.701207,20189190
2016-02-19,7.852107,7.985785,7.700994,7.945101,6.770547,16198014
2016-02-22,7.991597,8.067154,7.886980,8.020657,6.834934,18505625
2016-02-23,7.974161,8.032282,7.462699,7.608000,6.483281,25201001
2016-02-24,7.555692,7.886980,7.451075,7.863732,6.701207,22757638
2016-02-25,7.817235,7.968349,7.695182,7.950913,6.775500,20784159
2016-02-26,8.009033,8.020657,7.642873,7.811423,6.656632,18624516
2016-02-29,7.735866,7.834671,7.671933,7.712618,6.572433,21932459
2016-03-01,7.799799,7.828859,7.608000,7.718430,6.577387,14373879
2016-03-02,7.776551,8.165959,7.759114,8.078778,6.884463,17234305
2016-03-03,8.084590,8.107839,7.718430,7.904416,6.735876,17256500
2016-03-04,8.659985,9.206320,8.613489,8.973837,7.647201,57415854
2016-03-07,8.793663,9.293501,8.752978,9.281877,7.937980,31792800
2016-03-08,9.154011,9.177260,8.837253,8.851784,7.570159,21215331
2016-03-09,8.915716,9.203414,8.892468,9.002897,7.699393,19045536
2016-03-10,9.037770,9.421367,9.020334,9.241192,7.903185,24578332
2016-03-11,9.299313,9.555044,9.299313,9.491111,8.116918,26984531
2016-03-14,9.415554,9.630601,9.322561,9.537608,8.156683,16641917
2016-03-15,9.508548,9.810775,9.444615,9.746842,8.335624,23974588
2016-03-16,9.711970,10.014198,9.648037,9.990949,8.544387,21531053
2016-03-17,9.956077,10.072318,9.857272,9.973513,8.529477,18699360
2016-03-18,9.979325,10.217620,9.927017,10.072318,8.613975,53273441
2016-03-21,10.072318,10.426855,10.054882,10.293177,8.802856,18463127
2016-03-22,10.118815,10.508224,10.078131,10.176936,8.703444,19474127
2016-03-23,10.182748,10.211808,9.932829,10.147875,8.678593,19674400
2016-03-24,10.118815,10.252493,9.944453,10.211808,8.733269,15261342
2016-03-28,10.159499,10.267023,10.008386,10.176936,8.703444,9518639
2016-03-29,10.095567,10.275741,10.008386,10.258305,8.773030,10197054
2016-03-30,10.298989,10.412325,10.246681,10.397794,8.892324,18156352
2016-03-31,10.368734,10.438479,10.176936,10.304801,8.812797,17876245
2016-04-01,10.235056,10.778485,10.205996,10.694210,9.145824,25550102
2016-04-04,10.723270,10.723270,10.421043,10.484975,8.966884,13191512
2016-04-05,10.386170,10.409419,10.205996,10.235056,8.753151,14280625
2016-04-06,10.258305,10.450103,10.147875,10.438479,8.927120,17879858
2016-04-07,10.339674,10.484975,10.243775,10.310613,8.817764,16196809
2016-04-08,10.374546,10.633183,10.351298,10.397794,8.892324,12525312
2016-04-11,10.432667,10.496600,10.264117,10.304801,8.812797,10114296
2016-04-12,10.293177,10.322237,9.985137,10.020010,8.569241,15120085
2016-04-13,10.049070,10.176936,9.967701,10.171124,8.698477,14182897
2016-04-14,10.089755,10.113003,9.915393,10.031634,8.579181,11503990
2016-04-15,10.118815,10.159499,9.793339,10.113003,8.648767,20409250
2016-04-18,10.002574,10.162406,9.961889,10.136251,8.668649,9740935
2016-04-19,10.147875,10.159499,9.967701,10.020010,8.569241,11079872
2016-04-20,9.921205,10.171124,9.921205,10.113003,8.648767,9360003
2016-04-21,10.078131,10.310613,10.066506,10.147875,8.678593,10272415
2016-04-22,10.136251,10.287365,10.072318,10.165312,8.693502,13692194
2016-04-25,10.089755,10.118815,9.775903,10.002574,8.554331,10051667
2016-04-26,10.025822,10.150781,10.014198,10.089755,8.628889,10813874
2016-04-27,10.054882,10.182748,10.025822,10.060694,8.604031,10948938
2016-04-28,9.979325,10.104285,9.834024,9.897956,8.464857,8237340
2016-04-29,9.816587,9.828211,9.595729,9.682910,8.280948,12195481
2016-05-02,9.682910,9.735218,9.462051,9.531796,8.151711,14557979
2016-05-03,9.432991,9.444615,9.171447,9.258629,7.918097,19039170
2016-05-04,9.183072,9.299313,9.113327,9.258629,7.918097,11420887
2016-05-05,9.270253,9.281877,9.090078,9.136575,7.813714,6054985
2016-05-06,9.084266,9.217944,9.043582,9.171447,7.843535,8574569
2016-05-09,9.130763,9.276065,9.107515,9.217944,7.883303,8505230
2016-05-10,9.235380,9.241192,9.072642,9.235380,7.898214,8192777
2016-05-11,9.235380,9.505642,9.229568,9.310937,7.962834,11132349
2016-05-12,9.351622,9.380682,9.214457,9.241192,7.903185,9321807
2016-05-13,9.241192,9.366152,9.119139,9.165635,7.838566,11680863
2016-05-16,9.159823,9.354528,9.130763,9.276065,7.933009,15174282
2016-05-17,9.229568,9.415554,9.119139,9.194696,7.863421,25107403
2016-05-18,9.177260,9.258629,9.017428,9.107515,7.788862,11315244
2016-05-19,9.014522,9.177260,8.938965,9.171447,7.843535,11501753
2016-05-20,9.159823,9.293501,9.101703,9.223756,7.888274,15455593
2016-05-23,9.229568,9.456239,9.223756,9.339998,7.987684,14882648
2016-05-24,9.357434,9.496923,9.293501,9.444615,8.077153,21613812
2016-05-25,10.653525,10.752331,9.950265,10.083943,8.623916,75418560
2016-05-26,9.880520,10.281553,9.787527,10.107191,8.643797,37393042
2016-05-27,10.147875,10.659338,10.147875,10.612841,9.076238,39501412
2016-05-31,10.461727,10.734894,10.322237,10.734894,9.180618,42932892
2016-06-01,10.641901,10.682586,10.543096,10.630277,9.091148,21150982
2016-06-02,10.543096,10.769767,10.519848,10.752331,9.195529,23508489
2016-06-03,10.694210,10.752331,10.624465,10.665150,9.120973,15976234
2016-06-06,10.624465,11.025498,10.624465,10.984814,9.422593,22094191
2016-06-07,10.949941,11.185330,10.909257,11.135927,9.552217,24580224
2016-06-08,11.199860,11.403283,11.159176,11.246357,9.646939,27220419
2016-06-09,11.269605,11.420719,11.234733,11.362598,9.746651,16130912
2016-06-10,11.223108,11.234733,10.984814,11.112679,9.532272,16914282
2016-06-13,11.048746,11.130115,10.798827,10.810451,9.273029,17458838
2016-06-14,10.734894,10.833700,10.586687,10.641901,9.128448,24700491
2016-06-15,10.711646,11.077807,10.700022,10.926693,9.372739,20590940
2016-06-16,10.856948,10.944129,10.795921,10.845324,9.302940,21213266
2016-06-17,10.804639,11.048746,10.746519,11.008062,9.442538,28631964
2016-06-20,11.170800,11.397471,11.135927,11.263793,9.661897,27304382
2016-06-21,11.281229,11.536960,11.194048,11.484652,9.851348,19885684
2016-06-22,11.426531,11.484652,11.153364,11.164988,9.577144,18191967
2016-06-23,11.257981,11.443967,11.240545,11.420719,9.796507,17522843
2016-06-24,10.816263,11.089431,10.525660,10.554720,9.053666,43737768
2016-06-27,10.461727,10.467539,9.860178,9.996762,8.575060,31383479
2016-06-28,10.171124,10.217620,9.941547,10.113003,8.674768,23461174
2016-06-29,10.310613,10.409419,10.232150,10.333862,8.864217,14211630
2016-06-30,10.415231,10.752331,10.391982,10.618653,9.108507,21494405
2016-07-01,10.734894,10.833700,10.548908,10.746519,9.218188,15361995
2016-07-05,10.688398,10.711646,10.426855,10.577969,9.073608,10555274
2016-07-06,10.461727,10.711646,10.415231,10.694210,9.173319,12498988
2016-07-07,10.659338,10.874384,10.659338,10.734894,9.208217,10799938
2016-07-08,10.903445,11.066183,10.795921,11.066183,9.492391,18751493
2016-07-11,11.130115,11.313196,11.124303,11.240545,9.641956,17483786
2016-07-12,11.292853,11.566021,11.292853,11.443967,9.816448,22280355
2016-07-13,11.443967,11.484652,11.217296,11.333538,9.721724,11816099
2016-07-14,11.403283,11.720622,11.403283,11.618329,9.966013,25671058
2016-07-15,11.670638,11.722946,11.443967,11.490464,9.856332,15047133
2016-07-18,11.461403,11.612517,11.420719,11.502088,9.866302,10118425
